vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000000,CVE-2024-1000,APP000,Application-000,ASSET-000000,host-000000.corp.local,10.0.0.0,linux,Container,False,Low,Remediated,True,False,False,owner0@example.com,sysadmin0@example.com,Retail,Staging,us-west-2,2026-01-25,2026-04-22,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000000,2026-06-05
VULN-000002,CVE-2024-1002,APP002,Application-002,ASSET-000002,host-000002.corp.local,10.0.0.2,aix,VM,False,Low,Accepted Risk,True,False,False,owner2@example.com,sysadmin2@example.com,HR,Production,us-east-1,2026-01-24,2026-02-28,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000002,2026-06-05
VULN-000003,CVE-2024-1003,APP003,Application-003,ASSET-000003,host-000003.corp.local,10.0.0.3,windows,Container,True,High,Remediated,True,False,True,owner3@example.com,sysadmin3@example.com,Finance,Production,us-east-1,2026-01-21,2026-02-20,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000003,2026-06-02
VULN-000004,CVE-2024-1004,APP004,Application-004,ASSET-000004,host-000004.corp.local,10.0.0.4,linux,Physical,False,Medium,Remediated,True,False,False,owner4@example.com,sysadmin4@example.com,Marketing,Production,ap-south-1,2026-03-24,2026-04-17,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000004,2026-05-29
VULN-000005,CVE-2024-1005,APP005,Application-005,ASSET-000005,host-000005.corp.local,10.0.0.5,windows,Physical,True,Low,Open,True,True,False,owner5@example.com,sysadmin5@example.com,Finance,Staging,us-east-1,2026-03-21,2026-05-12,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000005,2026-06-15
VULN-000007,CVE-2024-1007,APP007,Application-007,ASSET-000007,host-000007.corp.local,10.0.0.7,aix,Physical,False,Low,Accepted Risk,True,False,False,owner7@example.com,sysadmin7@example.com,Engineering,Production,eu-west-1,2026-03-17,2026-05-16,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000007,2026-06-24
VULN-000008,CVE-2024-1008,APP008,Application-008,ASSET-000008,host-000008.corp.local,10.0.0.8,windows,Physical,False,Medium,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Production,us-east-1,2025-11-12,2025-12-20,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000008,2026-05-29
VULN-000009,CVE-2024-1009,APP009,Application-009,ASSET-000009,host-000009.corp.local,10.0.0.9,solaris,Physical,False,Critical,In Progress,True,False,False,owner9@example.com,sysadmin9@example.com,Marketing,Development,us-west-2,2025-07-20,2025-08-05,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-000009,2026-06-07
VULN-000010,CVE-2024-1010,APP010,Application-010,ASSET-000010,host-000010.corp.local,10.0.0.10,solaris,VM,False,High,Remediated,True,False,True,owner10@example.com,sysadmin0@example.com,Retail,Staging,eu-west-1,2025-11-12,2025-12-30,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000010,2026-06-05
VULN-000011,CVE-2024-1011,APP011,Application-011,ASSET-000011,host-000011.corp.local,10.0.0.11,windows,Physical,False,Critical,Accepted Risk,True,False,False,owner11@example.com,sysadmin1@example.com,HR,Staging,ap-south-1,2025-09-18,2025-10-01,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000011,2026-06-15
VULN-000012,CVE-2024-1012,APP012,Application-012,ASSET-000012,host-000012.corp.local,10.0.0.12,aix,Physical,False,Medium,Accepted Risk,True,False,False,owner12@example.com,sysadmin2@example.com,HR,Production,ap-south-1,2025-11-02,2026-01-26,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000012,2026-06-14
