vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000010,CVE-2024-1010,APP010,Application-010,ASSET-000010,host-000010.corp.local,10.0.0.10,solaris,VM,False,High,Remediated,True,False,True,owner10@example.com,sysadmin0@example.com,Retail,Staging,eu-west-1,2025-11-12,2025-12-30,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000010,2026-06-05
VULN-000030,CVE-2024-1030,APP030,Application-030,ASSET-000030,host-000030.corp.local,10.0.1.30,solaris,VM,False,Medium,Remediated,True,False,True,owner10@example.com,sysadmin0@example.com,Marketing,Staging,eu-west-1,2026-04-13,2026-05-09,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000030,2026-06-21
VULN-000050,CVE-2024-1050,APP000,Application-000,ASSET-000050,host-000050.corp.local,10.0.3.50,linux,VM,False,Medium,Open,False,False,False,owner10@example.com,sysadmin0@example.com,Finance,Staging,eu-west-1,2026-05-22,2026-08-11,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000050,2026-06-17
VULN-000070,CVE-2024-1070,APP020,Application-020,ASSET-000070,host-000070.corp.local,10.0.4.70,linux,Container,False,Critical,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Retail,Production,us-west-2,2026-03-09,2026-04-22,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000070,2026-06-06
VULN-000090,CVE-2024-1090,APP040,Application-040,ASSET-000090,host-000090.corp.local,10.0.5.90,aix,Physical,False,Low,Open,True,False,False,owner10@example.com,sysadmin0@example.com,Retail,Staging,ap-south-1,2025-06-26,2025-09-09,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000090,2026-05-26
VULN-000110,CVE-2024-1110,APP010,Application-010,ASSET-000110,host-000110.corp.local,10.0.6.110,linux,VM,False,High,Remediated,True,False,True,owner10@example.com,sysadmin0@example.com,Marketing,Staging,eu-west-1,2026-03-07,2026-03-21,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000110,2026-05-31
VULN-000130,CVE-2024-1130,APP030,Application-030,ASSET-000130,host-000130.corp.local,10.0.8.130,linux,Container,False,Medium,Remediated,False,False,False,owner10@example.com,sysadmin0@example.com,HR,Development,us-east-1,2026-05-05,2026-07-06,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000130,2026-06-13
VULN-000150,CVE-2024-1150,APP000,Application-000,ASSET-000150,host-000150.corp.local,10.0.9.150,aix,Physical,False,Medium,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Finance,Staging,us-west-2,2025-10-14,2025-12-21,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000150,2026-05-27
VULN-000170,CVE-2024-1170,APP020,Application-020,ASSET-000170,host-000170.corp.local,10.0.10.170,linux,Physical,False,High,In Progress,True,False,True,owner10@example.com,sysadmin0@example.com,Retail,Staging,us-west-2,2025-11-26,2025-12-26,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000170,2026-06-01
VULN-000190,CVE-2024-1190,APP040,Application-040,ASSET-000190,host-000190.corp.local,10.0.11.190,windows,Container,True,Medium,In Progress,True,False,False,owner10@example.com,sysadmin0@example.com,Retail,Staging,us-west-2,2025-09-06,2025-11-12,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000190,2026-06-02
VULN-000210,CVE-2024-1210,APP010,Application-010,ASSET-000210,host-000210.corp.local,10.0.13.210,windows,Container,False,High,In Progress,True,False,False,owner10@example.com,sysadmin0@example.com,Retail,Development,us-east-1,2026-03-20,2026-04-18,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000210,2026-06-25
VULN-000230,CVE-2024-1230,APP030,Application-030,ASSET-000230,host-000230.corp.local,10.0.14.230,linux,Physical,False,Medium,Remediated,True,True,True,owner10@example.com,sysadmin0@example.com,Finance,Production,us-west-2,2025-08-09,2025-10-30,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000230,2026-05-27
VULN-000250,CVE-2024-1250,APP000,Application-000,ASSET-000250,host-000250.corp.local,10.0.15.250,windows,VM,True,Medium,Accepted Risk,True,True,False,owner10@example.com,sysadmin0@example.com,Retail,Production,ap-south-1,2025-11-11,2025-12-25,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000250,2026-06-25
VULN-000270,CVE-2024-1270,APP020,Application-020,ASSET-000270,host-000270.corp.local,10.1.16.14,linux,Physical,False,Medium,Remediated,True,False,True,owner10@example.com,sysadmin0@example.com,Engineering,Development,us-east-1,2025-09-10,2025-11-15,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000270,2026-05-28
VULN-000290,CVE-2024-1290,APP040,Application-040,ASSET-000290,host-000290.corp.local,10.1.18.34,linux,VM,False,Critical,Open,True,False,False,owner10@example.com,sysadmin0@example.com,Marketing,Staging,eu-west-1,2025-08-07,2025-08-26,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000290,2026-06-06
