vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000009,CVE-2024-1009,APP009,Application-009,ASSET-000009,host-000009.corp.local,10.0.0.9,solaris,Physical,False,Critical,In Progress,True,False,False,owner9@example.com,sysadmin9@example.com,Marketing,Development,us-west-2,2025-07-20,2025-08-05,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-000009,2026-06-07
VULN-000011,CVE-2024-1011,APP011,Application-011,ASSET-000011,host-000011.corp.local,10.0.0.11,windows,Physical,False,Critical,Accepted Risk,True,False,False,owner11@example.com,sysadmin1@example.com,HR,Staging,ap-south-1,2025-09-18,2025-10-01,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000011,2026-06-15
VULN-000055,CVE-2024-1055,APP005,Application-005,ASSET-000055,host-000055.corp.local,10.0.3.55,windows,VM,False,Critical,Open,True,False,False,owner15@example.com,sysadmin5@example.com,HR,Staging,us-west-2,2025-08-06,2025-09-09,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000055,2026-06-13
VULN-000066,CVE-2024-1066,APP016,Application-016,ASSET-000066,host-000066.corp.local,10.0.4.66,linux,VM,True,Critical,In Progress,True,False,False,owner6@example.com,sysadmin6@example.com,Finance,Production,ap-south-1,2025-11-11,2025-12-07,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000066,2026-06-20
VULN-000070,CVE-2024-1070,APP020,Application-020,ASSET-000070,host-000070.corp.local,10.0.4.70,linux,Container,False,Critical,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Retail,Production,us-west-2,2026-03-09,2026-04-22,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000070,2026-06-06
VULN-000073,CVE-2024-1073,APP023,Application-023,ASSET-000073,host-000073.corp.local,10.0.4.73,solaris,VM,False,Critical,Remediated,True,False,True,owner13@example.com,sysadmin3@example.com,Retail,Production,eu-west-1,2026-02-16,2026-03-20,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000073,2026-05-29
VULN-000079,CVE-2024-1079,APP029,Application-029,ASSET-000079,host-000079.corp.local,10.0.4.79,windows,Container,False,Critical,Open,True,False,False,owner19@example.com,sysadmin9@example.com,Marketing,Production,us-east-1,2026-02-18,2026-04-17,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000079,2026-06-11
VULN-000104,CVE-2024-1104,APP004,Application-004,ASSET-000104,host-000104.corp.local,10.0.6.104,windows,VM,False,Critical,Remediated,True,True,False,owner4@example.com,sysadmin4@example.com,Retail,Production,eu-west-1,2025-09-14,2025-12-01,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000104,2026-06-16
VULN-000116,CVE-2024-1116,APP016,Application-016,ASSET-000116,host-000116.corp.local,10.0.7.116,linux,VM,False,Critical,Accepted Risk,True,False,False,owner16@example.com,sysadmin6@example.com,Marketing,Staging,ap-south-1,2026-04-29,2026-05-13,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000116,2026-06-17
VULN-000124,CVE-2024-1124,APP024,Application-024,ASSET-000124,host-000124.corp.local,10.0.7.124,linux,VM,False,Critical,Accepted Risk,True,False,False,owner4@example.com,sysadmin4@example.com,HR,Staging,eu-west-1,2025-12-06,2026-01-07,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000124,2026-05-29
VULN-000128,CVE-2024-1128,APP028,Application-028,ASSET-000128,host-000128.corp.local,10.0.8.128,linux,Physical,False,Critical,Accepted Risk,True,False,False,owner8@example.com,sysadmin8@example.com,Finance,Production,eu-west-1,2026-01-24,2026-02-02,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000128,2026-05-27
VULN-000144,CVE-2024-1144,APP044,Application-044,ASSET-000144,host-000144.corp.local,10.0.9.144,linux,VM,False,Critical,Accepted Risk,True,False,False,owner4@example.com,sysadmin4@example.com,Engineering,Development,us-east-1,2026-02-07,2026-04-17,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000144,2026-06-08
VULN-000155,CVE-2024-1155,APP005,Application-005,ASSET-000155,host-000155.corp.local,10.0.9.155,linux,Physical,False,Critical,Open,True,False,True,owner15@example.com,sysadmin5@example.com,Marketing,Development,us-west-2,2025-09-07,2025-09-20,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000155,2026-06-25
VULN-000188,CVE-2024-1188,APP038,Application-038,ASSET-000188,host-000188.corp.local,10.0.11.188,linux,VM,False,Critical,In Progress,True,False,True,owner8@example.com,sysadmin8@example.com,HR,Production,ap-south-1,2025-08-22,2025-09-19,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000188,2026-06-06
VULN-000218,CVE-2024-1218,APP018,Application-018,ASSET-000218,host-000218.corp.local,10.0.13.218,solaris,Container,False,Critical,Accepted Risk,True,True,False,owner18@example.com,sysadmin8@example.com,Finance,Staging,eu-west-1,2025-11-26,2025-12-20,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000218,2026-06-20
VULN-000220,CVE-2024-1220,APP020,Application-020,ASSET-000220,host-000220.corp.local,10.0.13.220,aix,Physical,False,Critical,Open,True,False,False,owner0@example.com,sysadmin0@example.com,Engineering,Staging,us-east-1,2025-12-08,2026-02-15,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000220,2026-06-18
VULN-000224,CVE-2024-1224,APP024,Application-024,ASSET-000224,host-000224.corp.local,10.0.14.224,aix,VM,False,Critical,Remediated,True,False,False,owner4@example.com,sysadmin4@example.com,Retail,Development,us-west-2,2025-09-20,2025-10-29,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000224,2026-06-15
VULN-000225,CVE-2024-1225,APP025,Application-025,ASSET-000225,host-000225.corp.local,10.0.14.225,solaris,VM,False,Critical,Open,True,False,False,owner5@example.com,sysadmin5@example.com,HR,Production,us-east-1,2026-04-18,2026-04-30,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000225,2026-06-19
VULN-000254,CVE-2024-1254,APP004,Application-004,ASSET-000254,host-000254.corp.local,10.0.15.254,linux,Container,False,Critical,Accepted Risk,False,False,False,owner14@example.com,sysadmin4@example.com,Finance,Staging,us-west-2,2026-06-13,2026-07-30,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000254,2026-06-03
VULN-000257,CVE-2024-1257,APP007,Application-007,ASSET-000257,host-000257.corp.local,10.1.16.1,solaris,Container,False,Critical,Open,True,False,False,owner17@example.com,sysadmin7@example.com,HR,Production,us-east-1,2025-11-24,2025-12-10,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000257,2026-06-22
VULN-000258,CVE-2024-1258,APP008,Application-008,ASSET-000258,host-000258.corp.local,10.1.16.2,windows,Physical,False,Critical,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Retail,Development,us-west-2,2025-08-06,2025-10-22,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000258,2026-06-22
VULN-000282,CVE-2024-1282,APP032,Application-032,ASSET-000282,host-000282.corp.local,10.1.17.26,aix,Container,True,Critical,In Progress,True,True,False,owner2@example.com,sysadmin2@example.com,Finance,Production,ap-south-1,2025-09-24,2025-10-08,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000282,2026-06-21
VULN-000290,CVE-2024-1290,APP040,Application-040,ASSET-000290,host-000290.corp.local,10.1.18.34,linux,VM,False,Critical,Open,True,False,False,owner10@example.com,sysadmin0@example.com,Marketing,Staging,eu-west-1,2025-08-07,2025-08-26,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000290,2026-06-06
VULN-000295,CVE-2024-1295,APP045,Application-045,ASSET-000295,host-000295.corp.local,10.1.18.39,linux,Physical,False,Critical,Open,True,False,False,owner15@example.com,sysadmin5@example.com,HR,Production,us-east-1,2025-07-21,2025-08-16,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000295,2026-06-21
VULN-000301,CVE-2024-1301,APP001,Application-001,ASSET-000301,host-000301.corp.local,10.1.18.45,windows,Physical,False,Critical,Accepted Risk,True,False,True,owner1@example.com,sysadmin1@example.com,HR,Development,eu-west-1,2025-09-25,2025-12-03,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000301,2026-05-28
VULN-000303,CVE-2024-1303,APP003,Application-003,ASSET-000303,host-000303.corp.local,10.1.18.47,windows,Container,False,Critical,Open,True,True,False,owner3@example.com,sysadmin3@example.com,HR,Development,eu-west-1,2026-03-30,2026-05-15,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000303,2026-05-26
VULN-000305,CVE-2024-1305,APP005,Application-005,ASSET-000305,host-000305.corp.local,10.1.19.49,linux,VM,False,Critical,Accepted Risk,False,True,False,owner5@example.com,sysadmin5@example.com,Marketing,Production,eu-west-1,2026-05-20,2026-08-06,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000305,2026-05-31
VULN-000308,CVE-2024-1308,APP008,Application-008,ASSET-000308,host-000308.corp.local,10.1.19.52,windows,VM,False,Critical,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Marketing,Development,us-west-2,2026-04-30,2026-06-08,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000308,2026-06-04
VULN-000331,CVE-2024-1331,APP031,Application-031,ASSET-000331,host-000331.corp.local,10.1.20.75,aix,Container,False,Critical,Accepted Risk,True,False,False,owner11@example.com,sysadmin1@example.com,Retail,Development,us-east-1,2025-10-18,2025-12-28,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000331,2026-06-07
VULN-000336,CVE-2024-1336,APP036,Application-036,ASSET-000336,host-000336.corp.local,10.1.21.80,linux,VM,False,Critical,Open,True,False,False,owner16@example.com,sysadmin6@example.com,HR,Staging,eu-west-1,2025-09-14,2025-09-27,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000336,2026-06-02
VULN-000342,CVE-2024-1342,APP042,Application-042,ASSET-000342,host-000342.corp.local,10.1.21.86,windows,VM,False,Critical,Remediated,True,False,False,owner2@example.com,sysadmin2@example.com,HR,Production,us-west-2,2026-04-08,2026-05-02,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000342,2026-06-22
VULN-000344,CVE-2024-1344,APP044,Application-044,ASSET-000344,host-000344.corp.local,10.1.21.88,linux,Physical,False,Critical,Accepted Risk,True,False,False,owner4@example.com,sysadmin4@example.com,HR,Development,eu-west-1,2026-03-12,2026-04-09,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000344,2026-06-17
VULN-000350,CVE-2024-1350,APP000,Application-000,ASSET-000350,host-000350.corp.local,10.1.21.94,aix,Physical,False,Critical,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Finance,Development,us-east-1,2025-08-14,2025-08-22,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000350,2026-05-28
VULN-000352,CVE-2024-1352,APP002,Application-002,ASSET-000352,host-000352.corp.local,10.1.22.96,aix,Physical,True,Critical,Remediated,True,False,False,owner12@example.com,sysadmin2@example.com,HR,Development,us-west-2,2025-12-27,2026-03-24,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000352,2026-05-26
VULN-000410,CVE-2024-1410,APP010,Application-010,ASSET-000410,host-000410.corp.local,10.1.25.154,windows,Physical,False,Critical,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Engineering,Staging,us-west-2,2025-12-19,2026-03-15,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000410,2026-06-22
VULN-000419,CVE-2024-1419,APP019,Application-019,ASSET-000419,host-000419.corp.local,10.1.26.163,aix,Container,False,Critical,Accepted Risk,False,False,True,owner19@example.com,sysadmin9@example.com,Finance,Development,eu-west-1,2026-05-08,2026-07-06,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000419,2026-06-10
VULN-000426,CVE-2024-1426,APP026,Application-026,ASSET-000426,host-000426.corp.local,10.1.26.170,aix,Container,False,Critical,In Progress,True,False,False,owner6@example.com,sysadmin6@example.com,Marketing,Production,eu-west-1,2026-01-05,2026-03-13,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000426,2026-05-28
VULN-000433,CVE-2024-1433,APP033,Application-033,ASSET-000433,host-000433.corp.local,10.1.27.177,windows,Container,False,Critical,Accepted Risk,True,False,False,owner13@example.com,sysadmin3@example.com,Retail,Production,ap-south-1,2026-01-20,2026-04-17,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000433,2026-06-05
VULN-000434,CVE-2024-1434,APP034,Application-034,ASSET-000434,host-000434.corp.local,10.1.27.178,aix,Physical,False,Critical,Accepted Risk,True,False,False,owner14@example.com,sysadmin4@example.com,HR,Production,us-east-1,2025-12-28,2026-03-12,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000434,2026-06-16
VULN-000445,CVE-2024-1445,APP045,Application-045,ASSET-000445,host-000445.corp.local,10.1.27.189,solaris,Container,False,Critical,In Progress,True,False,False,owner5@example.com,sysadmin5@example.com,Engineering,Staging,eu-west-1,2026-04-20,2026-05-04,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000445,2026-06-21
VULN-000460,CVE-2024-1460,APP010,Application-010,ASSET-000460,host-000460.corp.local,10.1.28.204,linux,VM,False,Critical,Remediated,True,False,False,owner0@example.com,sysadmin0@example.com,Engineering,Production,eu-west-1,2025-09-26,2025-11-30,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000460,2026-06-25
VULN-000488,CVE-2024-1488,APP038,Application-038,ASSET-000488,host-000488.corp.local,10.1.30.232,aix,Physical,False,Critical,In Progress,True,False,False,owner8@example.com,sysadmin8@example.com,Engineering,Staging,us-west-2,2026-01-14,2026-02-01,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000488,2026-06-23
VULN-000489,CVE-2024-1489,APP039,Application-039,ASSET-000489,host-000489.corp.local,10.1.30.233,linux,Container,False,Critical,Accepted Risk,True,False,False,owner9@example.com,sysadmin9@example.com,Finance,Production,us-west-2,2026-01-09,2026-02-07,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000489,2026-05-29
VULN-000493,CVE-2024-1493,APP043,Application-043,ASSET-000493,host-000493.corp.local,10.1.30.237,linux,Container,False,Critical,Remediated,False,False,False,owner13@example.com,sysadmin3@example.com,Engineering,Development,eu-west-1,2026-04-19,2026-07-17,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000493,2026-06-19
VULN-000494,CVE-2024-1494,APP044,Application-044,ASSET-000494,host-000494.corp.local,10.1.30.238,windows,Container,False,Critical,Accepted Risk,False,False,False,owner14@example.com,sysadmin4@example.com,Engineering,Staging,us-east-1,2026-04-01,2026-06-28,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000494,2026-06-10
VULN-000496,CVE-2024-1496,APP046,Application-046,ASSET-000496,host-000496.corp.local,10.1.31.240,windows,VM,True,Critical,In Progress,False,False,False,owner16@example.com,sysadmin6@example.com,HR,Staging,us-west-2,2026-06-03,2026-06-29,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000496,2026-06-20
