vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000003,CVE-2024-1003,APP003,Application-003,ASSET-000003,host-000003.corp.local,10.0.0.3,windows,Container,True,High,Remediated,True,False,True,owner3@example.com,sysadmin3@example.com,Finance,Production,us-east-1,2026-01-21,2026-02-20,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000003,2026-06-02
VULN-000005,CVE-2024-1005,APP005,Application-005,ASSET-000005,host-000005.corp.local,10.0.0.5,windows,Physical,True,Low,Open,True,True,False,owner5@example.com,sysadmin5@example.com,Finance,Staging,us-east-1,2026-03-21,2026-05-12,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000005,2026-06-15
VULN-000018,CVE-2024-1018,APP018,Application-018,ASSET-000018,host-000018.corp.local,10.0.1.18,linux,Physical,True,Low,Accepted Risk,True,False,False,owner18@example.com,sysadmin8@example.com,Marketing,Staging,ap-south-1,2026-05-19,2026-06-17,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000018,2026-06-12
VULN-000036,CVE-2024-1036,APP036,Application-036,ASSET-000036,host-000036.corp.local,10.0.2.36,linux,Container,True,Medium,Remediated,True,False,False,owner16@example.com,sysadmin6@example.com,Finance,Staging,eu-west-1,2025-12-18,2025-12-26,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000036,2026-06-18
VULN-000044,CVE-2024-1044,APP044,Application-044,ASSET-000044,host-000044.corp.local,10.0.2.44,solaris,Container,True,Medium,Accepted Risk,True,False,False,owner4@example.com,sysadmin4@example.com,HR,Staging,ap-south-1,2025-11-04,2025-12-27,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-000044,2026-06-12
VULN-000045,CVE-2024-1045,APP045,Application-045,ASSET-000045,host-000045.corp.local,10.0.2.45,windows,Container,True,High,In Progress,True,False,False,owner5@example.com,sysadmin5@example.com,HR,Production,us-east-1,2026-02-25,2026-03-17,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000045,2026-06-04
VULN-000053,CVE-2024-1053,APP003,Application-003,ASSET-000053,host-000053.corp.local,10.0.3.53,linux,Physical,True,High,Remediated,True,False,False,owner13@example.com,sysadmin3@example.com,Retail,Staging,ap-south-1,2026-01-11,2026-02-01,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000053,2026-06-15
VULN-000064,CVE-2024-1064,APP014,Application-014,ASSET-000064,host-000064.corp.local,10.0.4.64,linux,Container,True,Medium,Open,True,False,False,owner4@example.com,sysadmin4@example.com,Engineering,Staging,eu-west-1,2026-04-11,2026-06-05,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000064,2026-06-13
VULN-000066,CVE-2024-1066,APP016,Application-016,ASSET-000066,host-000066.corp.local,10.0.4.66,linux,VM,True,Critical,In Progress,True,False,False,owner6@example.com,sysadmin6@example.com,Finance,Production,ap-south-1,2025-11-11,2025-12-07,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000066,2026-06-20
VULN-000067,CVE-2024-1067,APP017,Application-017,ASSET-000067,host-000067.corp.local,10.0.4.67,solaris,Physical,True,High,In Progress,True,False,False,owner7@example.com,sysadmin7@example.com,Engineering,Development,us-west-2,2026-05-25,2026-06-15,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-000067,2026-06-09
VULN-000086,CVE-2024-1086,APP036,Application-036,ASSET-000086,host-000086.corp.local,10.0.5.86,linux,Container,True,Medium,Remediated,True,True,False,owner6@example.com,sysadmin6@example.com,Engineering,Development,ap-south-1,2025-09-12,2025-10-19,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000086,2026-05-27
VULN-000102,CVE-2024-1102,APP002,Application-002,ASSET-000102,host-000102.corp.local,10.0.6.102,solaris,Physical,True,Medium,Accepted Risk,True,False,False,owner2@example.com,sysadmin2@example.com,HR,Development,us-west-2,2025-09-02,2025-11-20,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000102,2026-06-13
VULN-000112,CVE-2024-1112,APP012,Application-012,ASSET-000112,host-000112.corp.local,10.0.7.112,windows,Container,True,High,In Progress,True,True,False,owner12@example.com,sysadmin2@example.com,Finance,Development,eu-west-1,2026-01-21,2026-04-12,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000112,2026-06-17
VULN-000117,CVE-2024-1117,APP017,Application-017,ASSET-000117,host-000117.corp.local,10.0.7.117,linux,Container,True,Medium,Open,True,False,False,owner17@example.com,sysadmin7@example.com,Retail,Staging,eu-west-1,2026-01-21,2026-01-30,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000117,2026-06-12
VULN-000120,CVE-2024-1120,APP020,Application-020,ASSET-000120,host-000120.corp.local,10.0.7.120,linux,Physical,True,High,Open,True,False,False,owner0@example.com,sysadmin0@example.com,Marketing,Production,us-east-1,2025-12-11,2026-03-08,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000120,2026-05-27
VULN-000137,CVE-2024-1137,APP037,Application-037,ASSET-000137,host-000137.corp.local,10.0.8.137,linux,VM,True,Medium,Open,True,False,False,owner17@example.com,sysadmin7@example.com,Engineering,Production,ap-south-1,2025-12-23,2026-03-18,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000137,2026-06-22
VULN-000141,CVE-2024-1141,APP041,Application-041,ASSET-000141,host-000141.corp.local,10.0.8.141,linux,Physical,True,Low,Remediated,True,False,False,owner1@example.com,sysadmin1@example.com,Engineering,Staging,ap-south-1,2026-01-20,2026-04-11,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000141,2026-06-15
VULN-000145,CVE-2024-1145,APP045,Application-045,ASSET-000145,host-000145.corp.local,10.0.9.145,aix,Physical,True,High,Remediated,True,True,False,owner5@example.com,sysadmin5@example.com,Marketing,Production,eu-west-1,2025-10-25,2026-01-02,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000145,2026-05-31
