vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000001,CVE-2024-1001,APP001,Application-001,ASSET-000001,host-000001.corp.local,10.0.0.1,linux,VM,False,Medium,Remediated,False,False,False,owner1@example.com,sysadmin1@example.com,Engineering,Production,ap-south-1,2026-05-14,2026-08-08,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000001,2026-06-06
VULN-000006,CVE-2024-1006,APP006,Application-006,ASSET-000006,host-000006.corp.local,10.0.0.6,windows,VM,False,Low,Accepted Risk,False,False,False,owner6@example.com,sysadmin6@example.com,Engineering,Development,us-west-2,2026-04-10,2026-07-03,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000006,2026-06-21
VULN-000023,CVE-2024-1023,APP023,Application-023,ASSET-000023,host-000023.corp.local,10.0.1.23,linux,Physical,False,High,In Progress,False,False,False,owner3@example.com,sysadmin3@example.com,HR,Staging,eu-west-1,2026-06-22,2026-08-25,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000023,2026-06-14
VULN-000024,CVE-2024-1024,APP024,Application-024,ASSET-000024,host-000024.corp.local,10.0.1.24,solaris,Physical,False,Medium,Accepted Risk,False,False,False,owner4@example.com,sysadmin4@example.com,Marketing,Staging,us-east-1,2026-05-02,2026-07-15,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000024,2026-05-26
VULN-000025,CVE-2024-1025,APP025,Application-025,ASSET-000025,host-000025.corp.local,10.0.1.25,linux,Container,False,Low,Remediated,False,False,True,owner5@example.com,sysadmin5@example.com,HR,Staging,us-east-1,2026-06-14,2026-09-02,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000025,2026-06-11
VULN-000041,CVE-2024-1041,APP041,Application-041,ASSET-000041,host-000041.corp.local,10.0.2.41,aix,VM,False,High,Open,False,False,False,owner1@example.com,sysadmin1@example.com,Retail,Staging,ap-south-1,2026-06-07,2026-07-17,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000041,2026-06-07
VULN-000047,CVE-2024-1047,APP047,Application-047,ASSET-000047,host-000047.corp.local,10.0.2.47,linux,Container,False,Medium,In Progress,False,False,False,owner7@example.com,sysadmin7@example.com,Finance,Production,us-west-2,2026-06-22,2026-07-22,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000047,2026-06-10
VULN-000050,CVE-2024-1050,APP000,Application-000,ASSET-000050,host-000050.corp.local,10.0.3.50,linux,VM,False,Medium,Open,False,False,False,owner10@example.com,sysadmin0@example.com,Finance,Staging,eu-west-1,2026-05-22,2026-08-11,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000050,2026-06-17
VULN-000084,CVE-2024-1084,APP034,Application-034,ASSET-000084,host-000084.corp.local,10.0.5.84,linux,Container,False,Medium,Remediated,False,False,False,owner4@example.com,sysadmin4@example.com,HR,Staging,eu-west-1,2026-03-30,2026-06-26,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000084,2026-05-29
VULN-000093,CVE-2024-1093,APP043,Application-043,ASSET-000093,host-000093.corp.local,10.0.5.93,aix,Physical,False,Medium,In Progress,False,False,False,owner13@example.com,sysadmin3@example.com,Retail,Production,ap-south-1,2026-05-05,2026-07-19,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000093,2026-06-23
