vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000001,CVE-2024-1001,APP001,Application-001,ASSET-000001,host-000001.corp.local,10.0.0.1,linux,VM,False,Medium,Remediated,False,False,False,owner1@example.com,sysadmin1@example.com,Engineering,Production,ap-south-1,2026-05-14,2026-08-08,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000001,2026-06-06
VULN-000051,CVE-2024-1051,APP001,Application-001,ASSET-000051,host-000051.corp.local,10.0.3.51,windows,Physical,False,Medium,In Progress,True,True,True,owner11@example.com,sysadmin1@example.com,Retail,Staging,us-east-1,2026-05-11,2026-05-30,False,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000051,2026-06-24
VULN-000101,CVE-2024-1101,APP001,Application-001,ASSET-000101,host-000101.corp.local,10.0.6.101,windows,Container,False,Low,Open,True,False,False,owner1@example.com,sysadmin1@example.com,Engineering,Production,eu-west-1,2025-08-31,2025-10-18,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000101,2026-06-23
VULN-000151,CVE-2024-1151,APP001,Application-001,ASSET-000151,host-000151.corp.local,10.0.9.151,windows,Container,False,Medium,Accepted Risk,True,False,False,owner11@example.com,sysadmin1@example.com,HR,Development,eu-west-1,2025-10-09,2025-11-30,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000151,2026-06-07
VULN-000201,CVE-2024-1201,APP001,Application-001,ASSET-000201,host-000201.corp.local,10.0.12.201,linux,Physical,True,High,Accepted Risk,True,False,False,owner1@example.com,sysadmin1@example.com,Finance,Staging,us-east-1,2026-02-03,2026-02-22,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000201,2026-05-31
VULN-000251,CVE-2024-1251,APP001,Application-001,ASSET-000251,host-000251.corp.local,10.0.15.251,linux,Container,False,Low,Remediated,True,False,False,owner11@example.com,sysadmin1@example.com,Marketing,Production,us-east-1,2026-03-08,2026-04-19,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000251,2026-05-26
VULN-000301,CVE-2024-1301,APP001,Application-001,ASSET-000301,host-000301.corp.local,10.1.18.45,windows,Physical,False,Critical,Accepted Risk,True,False,True,owner1@example.com,sysadmin1@example.com,HR,Development,eu-west-1,2025-09-25,2025-12-03,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000301,2026-05-28
VULN-000351,CVE-2024-1351,APP001,Application-001,ASSET-000351,host-000351.corp.local,10.1.21.95,windows,VM,False,Low,Remediated,True,False,False,owner11@example.com,sysadmin1@example.com,Retail,Production,us-east-1,2025-09-04,2025-10-16,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000351,2026-05-31
VULN-000401,CVE-2024-1401,APP001,Application-001,ASSET-000401,host-000401.corp.local,10.1.25.145,linux,Container,False,Medium,Accepted Risk,True,True,False,owner1@example.com,sysadmin1@example.com,Finance,Production,eu-west-1,2026-01-03,2026-02-24,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000401,2026-06-11
VULN-000451,CVE-2024-1451,APP001,Application-001,ASSET-000451,host-000451.corp.local,10.1.28.195,linux,Container,False,High,In Progress,True,False,True,owner11@example.com,sysadmin1@example.com,HR,Development,us-east-1,2025-12-15,2025-12-29,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000451,2026-05-31
VULN-000501,CVE-2024-1501,APP001,Application-001,ASSET-000501,host-000501.corp.local,10.1.31.245,linux,VM,False,Medium,In Progress,True,False,False,owner1@example.com,sysadmin1@example.com,Engineering,Production,us-east-1,2026-03-04,2026-04-08,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000501,2026-06-07
VULN-000551,CVE-2024-1551,APP001,Application-001,ASSET-000551,host-000551.corp.local,10.2.34.39,aix,Physical,False,High,In Progress,True,False,False,owner11@example.com,sysadmin1@example.com,Finance,Production,us-east-1,2025-09-09,2025-10-01,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000551,2026-06-22
VULN-000601,CVE-2024-1601,APP001,Application-001,ASSET-000601,host-000601.corp.local,10.2.37.89,linux,Physical,False,Critical,In Progress,True,False,False,owner1@example.com,sysadmin1@example.com,Finance,Staging,ap-south-1,2025-07-09,2025-07-30,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000601,2026-06-08
VULN-000651,CVE-2024-1651,APP001,Application-001,ASSET-000651,host-000651.corp.local,10.2.40.139,linux,Container,False,Medium,Accepted Risk,True,False,True,owner11@example.com,sysadmin1@example.com,Engineering,Development,eu-west-1,2026-01-16,2026-02-09,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000651,2026-06-22
VULN-000701,CVE-2024-1701,APP001,Application-001,ASSET-000701,host-000701.corp.local,10.2.43.189,solaris,Physical,False,Medium,Remediated,True,False,False,owner1@example.com,sysadmin1@example.com,HR,Production,us-west-2,2026-02-08,2026-03-01,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000701,2026-05-31
VULN-000751,CVE-2024-1751,APP001,Application-001,ASSET-000751,host-000751.corp.local,10.2.46.239,solaris,VM,False,Low,Open,True,False,True,owner11@example.com,sysadmin1@example.com,Finance,Development,us-west-2,2025-10-07,2025-10-19,True,Solaris,Solaris 11,Sample finding for vulnerability VULN-000751,2026-06-15
VULN-000801,CVE-2024-1801,APP001,Application-001,ASSET-000801,host-000801.corp.local,10.3.50.33,windows,Physical,False,High,Remediated,True,False,False,owner1@example.com,sysadmin1@example.com,Finance,Production,us-east-1,2026-02-08,2026-04-18,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000801,2026-05-30
VULN-000851,CVE-2024-1851,APP001,Application-001,ASSET-000851,host-000851.corp.local,10.3.53.83,linux,Physical,False,Medium,Remediated,True,True,False,owner11@example.com,sysadmin1@example.com,Finance,Production,us-east-1,2025-11-16,2026-02-06,True,Linux,RHEL 8,Sample finding for vulnerability VULN-000851,2026-06-21
