vulnerability_id,cve_id,application_id,application_name,asset_id,hostname,ip_address,os_type,server_type,internet_facing,severity,status,past_due_flag,escalated_flag,kernel_related,application_owner,os_owner,business_unit,environment,region,discovered_date,due_date,is_remediated,platform_type,operating_system,description,last_scan_date
VULN-000000,CVE-2024-1000,APP000,Application-000,ASSET-000000,host-000000.corp.local,10.0.0.0,linux,Container,False,Low,Remediated,True,False,False,owner0@example.com,sysadmin0@example.com,Retail,Staging,us-west-2,2026-01-25,2026-04-22,False,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000000,2026-06-05
VULN-000050,CVE-2024-1050,APP000,Application-000,ASSET-000050,host-000050.corp.local,10.0.3.50,linux,VM,False,Medium,Open,False,False,False,owner10@example.com,sysadmin0@example.com,Finance,Staging,eu-west-1,2026-05-22,2026-08-11,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000050,2026-06-17
VULN-000100,CVE-2024-1100,APP000,Application-000,ASSET-000100,host-000100.corp.local,10.0.6.100,windows,VM,False,High,Open,True,False,False,owner0@example.com,sysadmin0@example.com,HR,Staging,ap-south-1,2025-08-09,2025-11-07,True,Windows,Windows Server 2022,Sample finding for vulnerability VULN-000100,2026-06-25
VULN-000150,CVE-2024-1150,APP000,Application-000,ASSET-000150,host-000150.corp.local,10.0.9.150,aix,Physical,False,Medium,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Finance,Staging,us-west-2,2025-10-14,2025-12-21,True,AIX,AIX 7.2,Sample finding for vulnerability VULN-000150,2026-05-27
VULN-000200,CVE-2024-1200,APP000,Application-000,ASSET-000200,host-000200.corp.local,10.0.12.200,linux,Container,False,High,Accepted Risk,True,False,False,owner0@example.com,sysadmin0@example.com,Marketing,Production,eu-west-1,2025-08-24,2025-10-29,False,Linux,RHEL 8,Sample finding for vulnerability VULN-000200,2026-06-07
VULN-000250,CVE-2024-1250,APP000,Application-000,ASSET-000250,host-000250.corp.local,10.0.15.250,windows,VM,True,Medium,Accepted Risk,True,True,False,owner10@example.com,sysadmin0@example.com,Retail,Production,ap-south-1,2025-11-11,2025-12-25,True,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000250,2026-06-25
VULN-000300,CVE-2024-1300,APP000,Application-000,ASSET-000300,host-000300.corp.local,10.1.18.44,solaris,Container,False,Medium,Accepted Risk,False,True,False,owner0@example.com,sysadmin0@example.com,Marketing,Development,us-east-1,2026-06-19,2026-08-01,False,Solaris,Solaris 11,Sample finding for vulnerability VULN-000300,2026-06-22
VULN-000350,CVE-2024-1350,APP000,Application-000,ASSET-000350,host-000350.corp.local,10.1.21.94,aix,Physical,False,Critical,Remediated,True,False,False,owner10@example.com,sysadmin0@example.com,Finance,Development,us-east-1,2025-08-14,2025-08-22,False,AIX,AIX 7.2,Sample finding for vulnerability VULN-000350,2026-05-28
VULN-000400,CVE-2024-1400,APP000,Application-000,ASSET-000400,host-000400.corp.local,10.1.25.144,linux,Container,False,Low,In Progress,False,True,True,owner0@example.com,sysadmin0@example.com,Marketing,Production,ap-south-1,2026-04-21,2026-07-18,True,Linux,Ubuntu 22.04,Sample finding for vulnerability VULN-000400,2026-05-27
VULN-000450,CVE-2024-1450,APP000,Application-000,ASSET-000450,host-000450.corp.local,10.1.28.194,windows,Container,False,Low,In Progress,True,False,False,owner10@example.com,sysadmin0@example.com,Retail,Staging,eu-west-1,2025-07-28,2025-10-16,False,Windows,Windows Server 2019,Sample finding for vulnerability VULN-000450,2026-06-07
